Instituição;Código;Conglomerado Prudencial;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Ativo Total;Carteira de Crédito;Títulos e Valores Mobiliários;Passivo Exigível;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
BANCO DO BRASIL S.A.;0;BB - PRUDENCIAL;00049906;00080329;b1;1;1;BRASILIA;DF;03/2026;2.494.074.552;1.058.106.636;704.481.403;2.307.554.277;1.993.079.683;186.520.275;3.032.862;3.946;316
CAIXA ECONOMICA FEDERAL;360305;CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;00051626;00080738;b1;1;6;BRASILIA;DF;03/2026;2.341.423.338;1.326.305.265;434.891.894;2.226.534.922;2.046.609.674;114.888.417;3.093.792;3.008;865
ITAÚ UNIBANCO S.A.;60701190;ITAU - PRUDENCIAL;00010069;00080099;b1;2;8;SAO PAULO;SP;03/2026;2.164.397.264;667.649.841;518.427.207;2.002.725.754;1.855.391.489;161.671.510;9.884.979;1.475;1.390
BANCO BRADESCO S.A.;60746948;BRADESCO - PRUDENCIAL;00010045;00080075;b1;2;8;OSASCO;SP;03/2026;1.926.307.365;726.064.672;275.210.812;1.752.758.165;1.523.543.450;173.549.200;5.030.151;2.101;772
BANCO SANTANDER (BRASIL) S.A.;90400888;SANTANDER - PRUDENCIAL;00030379;00080185;b1;3;8;SAO PAULO;SP;03/2026;1.213.439.691;361.589.213;237.308.888;1.116.228.950;940.254.512;97.210.741;3.838.098;1.303;2.528
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;BNDES - PRUDENCIAL;;00081847;b4;1;4;RIO DE JANEIRO;RJ;03/2026;992.991.682;367.321.096;181.951.385;800.966.232;623.709.476;192.025.450;3.748.910;5;0
BANCO BTG PACTUAL S.A.;30306294;BTG PACTUAL - PRUDENCIAL;00049944;00080336;b1;2;8;RIO DE JANEIRO;RJ;03/2026;657.008.685;83.049.742;244.799.237;582.498.319;484.196.841;74.510.366;4.570.396;28;0
ITAÚ UNIBANCO HOLDING S.A.;60872504;ITAU - PRUDENCIAL;00010069;00080099;b2;2;8;SAO PAULO;SP;03/2026;472.332.053;173.606.267;37.718.797;272.555.271;104.478.832;199.776.782;11.654.250;2;7
BANCO SAFRA S.A.;58160789;SAFRA - PRUDENCIAL;00010083;00080109;b1;2;8;SAO PAULO;SP;03/2026;268.618.255;94.301.148;49.385.339;251.303.098;213.497.481;17.315.157;979.041;133;3
NU FINANCEIRA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;30680829;NU PAGAMENTOS - PRUDENCIAL;00052058;00084693;n1;3;14;SAO PAULO;SP;03/2026;249.445.758;74.685.961;68.073.540;236.471.490;216.124.678;12.974.268;2.025.724;2;0
