Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito;Títulos e Valores Mobiliários;Passivo Exigível;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA (e);Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;03/2026;2.834.355.732;1.221.119.971;595.956.814;2.601.903.408;2.150.956.827;232.452.324;12.150.492;230.527.362;14,77%;20,74%;1.508;1.397
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;03/2026;2.605.723.215;1.119.951.054;750.317.686;2.418.710.674;2.072.420.412;187.012.541;3.205.915;195.560.128;14,23%;21,69%;3.954;316
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;03/2026;2.357.609.372;1.343.379.156;437.882.800;2.242.274.132;2.044.762.984;115.335.240;3.093.792;153.863.891;15,13%;10,63%;3.011;865
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;03/2026;1.990.625.784;896.215.875;309.197.884;1.813.401.231;1.552.557.362;177.224.553;5.042.823;171.770.701;14,90%;27,72%;2.137;777
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;03/2026;1.316.473.089;547.000.497;246.550.857;1.209.425.158;965.175.346;107.047.931;4.081.450;115.779.445;15,15%;15,06%;1.323;2.528
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;03/2026;994.384.189;407.446.762;269.654.423;802.648.505;600.010.790;191.735.684;3.441.749;214.593.430;24,09%;0,88%;5;0
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;03/2026;785.839.960;211.034.838;255.693.824;707.673.081;547.945.217;78.166.879;4.570.396;96.751.380;15,91%;33,63%;68;0
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;S2;C;3;SAO PAULO;SP;03/2026;341.124.697;147.571.657;71.627.374;319.996.469;219.046.580;21.128.228;1.420.541;26.194.717;15,10%;NA%;6;0
XP - PRUDENCIAL;1000082475;b1;S2;C;2;RIO DE JANEIRO;RJ;03/2026;331.640.225;37.008.824;151.836.273;320.113.525;201.008.602;11.526.699;-33.499;12.659.670;11,93%;46,97%;12;0
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;03/2026;286.551.369;137.593.165;57.430.199;268.596.471;223.766.389;17.954.899;988.942;27.793.580;17,35%;9,88%;189;3
