periodo,tipo,ins_cod,cuenta,monto_clp,monto_uf,monto_tc,monto_ext,monto_total,country
202203,b1,0,78182,0,0,0,0,1955518062886,BR
202203,b1,0,78183,0,0,0,0,757545602315,BR
202203,b1,0,78184,0,0,0,0,1813541505054,BR
202203,b1,0,78185,0,0,0,0,1581085830772,BR
202203,b1,0,78186,0,0,0,0,141976557832,BR
202203,b1,208,78182,0,0,0,0,37424709862,BR
202203,b1,208,78183,0,0,0,0,19973620774,BR
202203,b1,208,78184,0,0,0,0,35021681381,BR
202203,b1,208,78185,0,0,0,0,32472804529,BR
202203,b1,208,78186,0,0,0,0,2403028480,BR
202203,b1,66670,78182,0,0,0,0,199169800,BR
202203,b1,66670,78183,0,0,0,0,0,BR
202203,b1,66670,78184,0,0,0,0,39590540,BR
202203,b1,66670,78185,0,0,0,0,0,BR
202203,b1,66670,78186,0,0,0,0,159579260,BR
202203,b1,68987,78182,0,0,0,0,433419607,BR
202203,b1,68987,78183,0,0,0,0,328631377,BR
202203,b1,68987,78184,0,0,0,0,381124066,BR
202203,b1,68987,78185,0,0,0,0,228812883,BR
202203,b1,68987,78186,0,0,0,0,52295542,BR
202203,b1,75847,78182,0,0,0,0,1504200442,BR
202203,b1,75847,78183,0,0,0,0,927597234,BR
202203,b1,75847,78184,0,0,0,0,1309700519,BR
202203,b1,75847,78185,0,0,0,0,1254189579,BR
202203,b1,75847,78186,0,0,0,0,194499923,BR
202203,b1,106180,78182,0,0,0,0,912959927,BR
202203,b1,106180,78183,0,0,0,0,31967505,BR
202203,b1,106180,78184,0,0,0,0,840555445,BR
202203,b1,106180,78185,0,0,0,0,0,BR
202203,b1,106180,78186,0,0,0,0,72404482,BR
202203,b1,122327,78182,0,0,0,0,288634610,BR
202203,b1,122327,78183,0,0,0,0,282410691,BR
202203,b1,122327,78184,0,0,0,0,155503090,BR
202203,b1,122327,78185,0,0,0,0,151688502,BR
202203,b1,122327,78186,0,0,0,0,133131519,BR
202203,b1,129753,78182,0,0,0,0,1616518,BR
202203,b1,129753,78183,0,0,0,0,732001,BR
202203,b1,129753,78184,0,0,0,0,241490,BR
202203,b1,129753,78185,0,0,0,0,0,BR
202203,b1,129753,78186,0,0,0,0,1375029,BR
202203,b1,141155,78182,0,0,0,0,6363611,BR
202203,b1,141155,78183,0,0,0,0,2303909,BR
