codigo,razon_social,country,es_banco
0,Banco do Brasil,BR,True
208,Brb - Banco de Brasília,BR,True
66670,Instituição 00066670,BR,False
68987,Instituição 00068987,BR,False
75847,Instituição 00075847,BR,False
106180,Instituição 00106180,BR,False
122327,Santinvest S.A. - Credito Financiamento e Investimentos,BR,False
129753,Instituição 00129753,BR,False
141155,Instituição 00141155,BR,False
162760,Instituição 00162760,BR,False
184068,Instituição 00184068,BR,False
204963,Cooperativa de Credito Rural Seara - Crediseara,BR,False
250699,Agk Corretora de Cambio,BR,False
259231,Instituição 00259231,BR,False
309024,Instituição 00309024,BR,False
315557,Cooperativa Central de Crédito Unicred do Brasil - Unicred do Brasil,BR,False
329598,Sefer Investimentos Distribuidora de Títulos e Valores Mobiliários Ltda - Em Liquidação Extrajudicial,BR,False
336036,Instituição 00336036,BR,False
360305,Caixa Econômica Federal,BR,True
411939,Finamax S.A. - Credito Financiamento e Investimento,BR,False
416968,Banco Inter,BR,True
429890,Instituição 00429890,BR,False
460065,Coluna S/A Distribuidora de Titulos e Valores Mobiliários,BR,False
512839,Instituição 00512839,BR,False
517645,Banco Ribeirao Preto,BR,True
543968,Instituição 00543968,BR,False
548980,Instituição 00548980,BR,False
556603,Banco Bari de Investimentos e Financiamentos,BR,True
558456,Banco Cetelem,BR,True
655522,APE Poupex,BR,True
692214,Instituição 00692214,BR,False
694389,Instituição 00694389,BR,False
694877,Instituição 00694877,BR,False
698609,Instituição 00698609,BR,False
707903,Instituição 00707903,BR,False
714671,Ewally Instituição de Pagamento,BR,False
731320,Instituição 00731320,BR,False
778858,Instituição 00778858,BR,False
795423,Banco Semear,BR,True
803287,Instituição 00803287,BR,False
804046,Instituição 00804046,BR,False
806535,Planner Corretora de Valores,BR,False
815319,Instituição 00815319,BR,False
869687,Instituição 00869687,BR,False
881829,Instituição 00881829,BR,False
913314,Instituição 00913314,BR,False
915950,Instituição 00915950,BR,False
946465,Instituição 00946465,BR,False
952415,Instituição 00952415,BR,False
966246,Instituição 00966246,BR,False
968602,Instituição 00968602,BR,False
968834,Instituição 00968834,BR,False
971300,Instituição 00971300,BR,False
977212,Instituição 00977212,BR,False
991143,Instituição 00991143,BR,False
991739,Instituição 00991739,BR,False
997185,Banco B3,BR,True
997804,Instituição 00997804,BR,False
999403,Instituição 00999403,BR,False
1009908,Instituição 01009908,BR,False
1023570,Banco Rabobank International Brasil,BR,True
1027058,Cielo S.A. - Instituição de Pagamento,BR,False
1039011,Instituição 01039011,BR,False
1042487,Instituição 01042487,BR,False
1060307,Instituição 01060307,BR,False
1062439,Instituição 01062439,BR,False
1073966,Cooperativa de Crédito Rural de Abelardo Luz - Sulcredi/crediluz,BR,False
1090027,Instituição 01090027,BR,False
1107759,Instituição 01107759,BR,False
1110032,Instituição 01110032,BR,False
1152097,Instituição 01152097,BR,False
1155801,Instituição 01155801,BR,False
1181521,Banco Cooperativo Sicredi,BR,True
1187961,Instituição 01187961,BR,False
1205736,Instituição 01205736,BR,False
1235921,Cooperativa de Crédito dos Servidores Públicos Municipais da Grande Vitória/es,BR,False
1259518,Instituição 01259518,BR,False
1286361,Instituição 01286361,BR,False
1288797,Instituição 01288797,BR,False
1301541,Instituição 01301541,BR,False
1330295,Instituição 01330295,BR,False
1330387,Cooperativa de Crédito Popular do Brasil - Crehnor,BR,False
1374196,Instituição 01374196,BR,False
1389651,Instituição 01389651,BR,False
1401771,Instituição 01401771,BR,False
1425787,Redecard (itaú),BR,False
1439107,Instituição 01439107,BR,False
1504952,Instituição 01504952,BR,False
1522368,Banco BNP Paribas Brasil,BR,True
1526924,Instituição 01526924,BR,False
1530136,Instituição 01530136,BR,False
1551820,Instituição 01551820,BR,False
1559914,Instituição 01559914,BR,False
1566038,Instituição 01566038,BR,False
1572667,Instituição 01572667,BR,False
1582158,Instituição 01582158,BR,False
1604998,Instituição 01604998,BR,False
1608685,Instituição 01608685,BR,False
1609345,Instituição 01609345,BR,False
1634601,Central de Cooperativas de Economia e Crédito Mútuo do Estado do Rio Grande do S,BR,False
1635462,Instituição 01635462,BR,False
1637949,Instituição 01637949,BR,False
1638542,Instituição 01638542,BR,False
1644264,Instituição 01644264,BR,False
1648418,Instituição 01648418,BR,False
1657678,Instituição 01657678,BR,False
1658426,Cooperforte Cooperativa de Crédito e Investimentos Ltda,BR,False
1664968,Instituição 01664968,BR,False
1667352,Instituição 01667352,BR,False
1667766,Instituição 01667766,BR,False
1692448,Instituição 01692448,BR,False
1699652,Instituição 01699652,BR,False
1701201,Kirton Bank,BR,False
1703620,Instituição 01703620,BR,False
1705236,Instituição 01705236,BR,False
1709266,Instituição 01709266,BR,False
1720488,Instituição 01720488,BR,False
1722480,Instituição 01722480,BR,False
1727929,Instituição 01727929,BR,False
1736516,Instituição 01736516,BR,False
1739375,Instituição 01739375,BR,False
1760242,Instituição 01760242,BR,False
1788147,Instituição 01788147,BR,False
1796302,Instituição 01796302,BR,False
1800019,Portocred S.A. - Credito Financiamento e Investimento,BR,False
1819799,Instituição 01819799,BR,False
1848322,Instituição 01848322,BR,False
1852137,Banco Brasileiro de Crédito Sociedade Anônima,BR,True
1858774,Banco BV,BR,True
1864151,Instituição 01864151,BR,False
1918144,Instituição 01918144,BR,False
1997612,Instituição 01997612,BR,False
2000895,Instituição 02000895,BR,False
2015588,Instituição 02015588,BR,False
2024442,Instituição 02024442,BR,False
2025743,Instituição 02025743,BR,False
2031139,Instituição 02031139,BR,False
2038232,Banco Cooperativo Sicoob S.A. - Banco Sicoob,BR,True
2057584,Instituição 02057584,BR,False
2072790,Instituição 02072790,BR,False
2083914,Instituição 02083914,BR,False
2090126,Instituição 02090126,BR,False
2093154,Instituição 02093154,BR,False
2104058,Instituição 02104058,BR,False
2115870,Instituição 02115870,BR,False
2137018,Instituição 02137018,BR,False
2144899,Instituição 02144899,BR,False
2173447,Instituição 02173447,BR,False
2179673,Instituição 02179673,BR,False
2192115,Instituição 02192115,BR,False
