cuenta,descripcion,country,formula
110560,"Conta de Pagamento Pré-Paga 
(a5)",BR,[41930005]
140198,"Disponibilidades 
(a)",BR,[1100000002]
140199,"Aplicações Interfinanceiras de Liquidez 
(b)",BR,[1200000005]
140200,"Títulos e Valores Mobiliários 
(c)",BR,[1300000008]-[1330000009]
140201,"Valor Contábil Bruto 
(e1)",BR,[1611001105] + [1611001112] + [1611001129] + [1611001136] + [1611001143] + [1611001150] + [1612001104] + [1612001111] + [1612001128] + [1612001135] + [1612001142] + [1612001159] + [1613001103] + [1613001110] + [1613001127] + [1613001134] + [1613001141] + [1613001158] + [1630501105] + [1630501112] + [1630501129] + [1630501136] + [1630501143] + [1630501150] + [1631501104] + [1631501111] + [1631501128] + [1631501135] + [1631501142] + [1631501159] + [1632501103] + [1632501110] + [1632501127] + [1632501134] + [1632501141] + [1632501158] + [1633501102] + [1633501119] + [1633501126] + [1633501133] + [1633501140] + [1633501157] + [1634501101] + [1634501118] + [1634501125] + [1634501132] + [1634501149] + [1634501156] + [1641001106] + [1641001113] + [1641001120] + [1641001137] + [1641001144] + [1641001151] + [1643001104] + [1643001111] + [1643001128] + [1643001135] + [1643001142] + [1643001159] + [1644001103] + [1644001110] + [1644001127] + [1644001134] + [1644001141] + [1644001158] + [1621001102] + [1621001119] + [1621001126] + [1621001133] + [1621001140] + [1621001157] + [1621501107] + [1621501114] + [1621501121] + [1621501138] + [1621501145] + [1621501152] + [1622001101] + [1622001118] + [1622001125] + [1622001132] + [1622001149] + [1622001156] + [1622501106] + [1622501113] + [1622501120] + [1622501137] + [1622501144] + [1622501151] + [1623001100] + [1623001117] + [1623001124] + [1623001131] + [1623001148] + [1623001155] + [1624001109] + [1624001116] + [1624001123] + [1624001130] + [1624001147] + [1624001154] + [1652001102] + [1652001119] + [1652001126] + [1652001133] + [1652001140] + [1652001157] + [1661001100] + [1661001117] + [1661001124] + [1661001131] + [1661001148] + [1661001155]
140202,"Perda Esperada 
(e2)",BR,[1611001404] + [1611001507] + [1611001600] + [1612001403] + [1612001506] + [1612001609] + [1613001402] + [1613001505] + [1613001608] + [1630501404] + [1630501507] + [1630501600] + [1631501403] + [1631501506] + [1631501609] + [1632501402] + [1632501505] + [1632501608] + [1633501401] + [1633501504] + [1633501607] + [1634501400] + [1634501503] + [1634501606] + [1641001405] + [1641001508] + [1641001601] + [1643001403] + [1643001506] + [1643001609] + [1644001402] + [1644001505] + [1644001608] + [1621001401] + [1621001504] + [1621001607] + [1621501406] + [1621501509] + [1621501602] + [1622001400] + [1622001503] + [1622001606] + [1622501405] + [1622501508] + [1622501601] + [1623001409] + [1623001502] + [1623001605] +  [1624001408] + [1624001501] + [1624001604] + [1652001401] + [1652001504] + [1652001607] + [1661001409] + [1661001502] + [1661001605]
140203,"Hedge de Valor Justo 
(e3)",BR,[1611001703] + [1612001702] + [1613001701] + [1630501703] + [1631501702] + [1632501701] + [1633501700] + [1634501709] + [1641001704] + [1643001702] + [1644001701] +[1621001700] + [1621501705] + [1622001709] + [1622501704] + [1623001708] + [1624001707] + [1652001700] + [1661001708]
140204,"Ajuste a Valor Justo 
(e4)",BR,[1611001806] + [1612001805] + [1613001804] + [1630501806] + [1631501805] + [1632501804] + [1633501803] + [1634501802] + [1641001807] + [1643001805] + [1644001804] + [1621001803] + [1621501808] + [1622001802] + [1622501807] + [1623001801] + [1624001800] + [1652001803] + [1661001801]
140205,"Operações de Crédito 
(e)",BR,[1600000007]
140207,"Valor Contábil Bruto 
(f1)",BR,[1741010004] + [1741020001]
